test_stat,main_stat,p-value
146.2920034,1596.582,p(test_stat >= main_stat) =0
130.3359125,,
153.7098038,,
130.823697,,
166.0558609,,
153.1823192,,
151.4588007,,
153.7074523,,
131.04349,,
109.840286,,
158.1094315,,
127.629692,,
128.6076441,,
140.0955407,,
113.352101,,
125.8988014,,
109.6972786,,
118.7956089,,
186.7677281,,
140.6981255,,
124.12543,,
148.5737375,,
132.0820371,,
113.1523342,,
144.6553349,,
147.0284413,,
158.7743904,,
135.0736642,,
153.7977719,,
171.4568332,,
109.2501384,,
122.7296876,,
146.4717604,,
163.7424689,,
185.8770556,,
187.0553465,,
139.679506,,
158.4256339,,
142.9950285,,
134.5063094,,
155.1609049,,
112.6761298,,
150.8813677,,
167.6592301,,
141.5800177,,
153.9736023,,
134.4400803,,
132.2496987,,
94.47006603,,
117.4211926,,
186.4125667,,
111.7688101,,
107.4322659,,
134.3816027,,
125.2294682,,
127.8114925,,
147.3125531,,
132.6629091,,
140.0305544,,
114.1079762,,
103.9212411,,
155.6584117,,
122.5026498,,
127.9609649,,
132.5046342,,
155.2936185,,
157.7523098,,
143.3429762,,
119.6883204,,
118.8824186,,
146.9436557,,
123.7563256,,
131.4010114,,
152.7906471,,
171.350215,,
155.8636634,,
151.2683979,,
130.1048756,,
140.0384658,,
114.9177922,,
130.3404568,,
141.688296,,
160.8861429,,
155.3410157,,
138.6887489,,
155.3293439,,
154.0505277,,
138.2323952,,
159.6060565,,
142.4821367,,
163.0372994,,
128.928481,,
132.3408015,,
112.1623708,,
136.5235597,,
169.204233,,
155.1962319,,
100.0001924,,
112.8491375,,
160.6416429,,
144.2730897,,
134.2907087,,
162.8184074,,
154.0856692,,
120.1653847,,
115.1723697,,
148.9329045,,
148.8912778,,
145.3519347,,
183.3713851,,
139.7441404,,
131.5042622,,
122.7159812,,
118.6873069,,
102.8562601,,
122.9904981,,
184.6480338,,
132.7355923,,
138.2120859,,
131.3622133,,
132.1779254,,
149.6797448,,
175.2158766,,
150.0608515,,
176.4569247,,
166.3160802,,
115.804061,,
119.0775776,,
143.7662061,,
117.0323628,,
107.0777767,,
141.9589353,,
110.5248339,,
133.3879635,,
142.2962552,,
124.2014867,,
175.4778974,,
130.7671357,,
136.7846115,,
170.6976439,,
115.5658614,,
139.1088808,,
181.535883,,
126.7371291,,
137.732988,,
119.0884009,,
122.311758,,
163.8732061,,
124.5229686,,
98.58808138,,
167.429374,,
118.1797932,,
151.8137316,,
137.2493116,,
110.3957865,,
149.976791,,
118.9767053,,
152.9426045,,
132.4826311,,
160.617766,,
124.0831648,,
122.531901,,
147.2047811,,
129.3188997,,
147.432016,,
171.2355879,,
129.2034097,,
136.6958834,,
161.7571407,,
148.20352,,
114.8724353,,
89.54412184,,
123.4075944,,
123.7563133,,
142.7954022,,
147.8964241,,
117.8552255,,
122.4157742,,
114.449905,,
130.071931,,
107.3653705,,
164.2345636,,
151.6352231,,
144.3012417,,
139.6176072,,
153.236805,,
140.3527165,,
137.2037108,,
184.2281972,,
140.7002355,,
149.0982873,,
178.1647344,,
158.0163379,,
143.9803852,,
142.3570021,,
127.8075761,,
133.891999,,
119.0734651,,
142.1329173,,
140.950601,,
139.3380748,,
140.090617,,
135.8964234,,
112.9479381,,
152.3492226,,
150.247405,,
131.9685091,,
110.4081525,,
136.0844106,,
145.999836,,
87.02395751,,
136.1196636,,
146.8361073,,
135.2016605,,
131.9371979,,
145.9081973,,
138.592405,,
168.5217337,,
118.3523591,,
133.4570565,,
145.2016477,,
172.738889,,
167.3879936,,
145.7667427,,
116.3694651,,
142.1275337,,
138.7357312,,
124.3350383,,
133.5927017,,
118.6719812,,
155.2974674,,
170.3173795,,
197.8074453,,
167.6377814,,
166.4879707,,
114.2712458,,
128.2067654,,
164.0059226,,
133.3909385,,
137.2240652,,
182.4968982,,
135.3680793,,
154.255036,,
160.0757661,,
157.660177,,
133.2302832,,
142.0047313,,
162.4004885,,
135.2973611,,
116.1641474,,
122.7832599,,
143.3169615,,
128.7658195,,
158.6988339,,
167.384855,,
128.8066007,,
148.1244069,,
163.4347861,,
151.0277988,,
126.7558939,,
108.0047948,,
119.4031482,,
88.96427419,,
157.4332281,,
158.9815058,,
152.6037691,,
131.0684903,,
138.1860083,,
151.0313092,,
155.9512906,,
160.3204188,,
160.276744,,
155.8081754,,
122.0209749,,
163.2032917,,
156.587729,,
138.1995563,,
123.7776846,,
163.4924322,,
118.3015579,,
116.4045965,,
145.252053,,
134.8777807,,
135.9259701,,
139.566142,,
117.5983639,,
140.0243831,,
141.7315199,,
139.8663182,,
145.4939194,,
140.6512381,,
136.8550026,,
149.673745,,
125.2255496,,
134.9948768,,
115.4330322,,
137.0833119,,
143.4875978,,
137.1902512,,
161.3799677,,
172.3800485,,
126.9733952,,
105.4348751,,
116.0750108,,
130.2275507,,
152.3544601,,
142.3590053,,
113.8162834,,
160.1100424,,
139.2132598,,
116.851724,,
130.8499575,,
115.8501578,,
93.82977249,,
109.6651063,,
153.1453166,,
123.5151174,,
141.128978,,
130.6129966,,
137.7860152,,
118.4465896,,
122.2713215,,
151.381377,,
133.4197237,,
143.413365,,
167.0965044,,
117.7698892,,
106.4608352,,
151.335124,,
115.1909243,,
134.815293,,
127.7436764,,
153.4733305,,
161.6019816,,
148.6398885,,
187.6140749,,
132.1353952,,
133.9428771,,
121.1018276,,
104.416615,,
148.570738,,
126.4012948,,
163.3356442,,
118.9579381,,
163.2640236,,
134.2983575,,
112.4443482,,
123.9098264,,
138.1333802,,
133.6003667,,
156.3541853,,
123.8185691,,
121.8891056,,
145.1905484,,
152.7835084,,
154.5019732,,
158.9501297,,
112.7512948,,
162.0261445,,
169.9270544,,
115.8183289,,
140.1338746,,
126.1104323,,
139.2871127,,
135.9967806,,
193.8827862,,
141.4560154,,
147.2799044,,
148.4681844,,
153.9877103,,
134.0123331,,
152.0297515,,
153.5908915,,
135.3379245,,
162.5291372,,
152.5045078,,
158.9327235,,
152.5417685,,
143.7042063,,
173.2535752,,
114.6406527,,
124.0769325,,
141.5214034,,
108.0747394,,
127.8106153,,
140.8793338,,
151.7577581,,
99.07354772,,
109.3587519,,
176.2227938,,
161.5943611,,
151.427647,,
119.2322771,,
153.742957,,
156.4568174,,
123.1447109,,
149.6610791,,
158.461628,,
114.7725603,,
167.6389765,,
144.6937519,,
108.0626917,,
161.5194123,,
124.0668971,,
154.394546,,
129.8517162,,
141.354804,,
109.2160061,,
119.1778158,,
153.3118884,,
141.6732301,,
170.1311144,,
165.4823865,,
153.3779365,,
176.2811577,,
140.1343789,,
140.501856,,
139.4706373,,
179.4947361,,
106.2691165,,
123.4326853,,
140.6877964,,
140.401909,,
152.6249699,,
161.4990782,,
157.7553712,,
127.9034148,,
130.4504152,,
130.7948941,,
127.144373,,
136.3305795,,
