"","bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
"result.1",203.822262756399,169.340941387673,158.101586615064,163.017356374671,172.200834067875
"result.2",119.644739279356,132.79836790828,186.719495216372,174.353548614783,165.771811711842
"result.3",130.924055863179,121.339406224855,134.322290069513,128.002573262368,156.938474099862
"result.4",159.291101330086,143.150520878563,159.861232182789,121.92466092793,135.70999501426
"result.5",178.366206757097,119.329174872428,119.402388470622,124.764940251788,151.452458603981
"result.6",161.871535563699,171.881627282356,149.10554094446,150.074480905698,121.177616932049
"result.7",192.094587561705,146.159940245686,144.874751807681,148.859305859455,133.720663340033
"result.8",172.072573489108,157.973214638506,149.076007650005,130.180006486373,142.205972284046
"result.9",126.775473381758,148.6183469489,138.378662515454,168.934910475936,134.429643959368
"result.10",140.190298606961,182.653626753809,178.801226878155,146.216905283712,133.620642806507
"result.11",147.50208649807,142.25659727669,140.973177615716,160.049377852575,144.046160190155
"result.12",154.223389173075,147.078303657958,159.252904895245,167.258171944271,167.563729696483
"result.13",159.714240999775,129.936817347629,156.541640373093,149.85510115905,169.063538919855
"result.14",147.283033165563,120.088073340249,157.600529918304,168.483638363806,178.682520139601
"result.15",131.151821214016,141.537968353285,131.631063151965,125.340523874916,144.506772630424
"result.16",151.088177083717,153.643246615542,147.524549235822,184.958783122097,122.089913902656
"result.17",169.545284835366,145.063270721821,176.523198796986,153.248393588954,169.513779797033
"result.18",188.189982772367,135.711681527086,133.501398729532,135.262352283557,184.000080271264
"result.19",125.759206828629,152.910846389887,145.95785066347,186.174908783371,161.070583305716
"result.20",152.59273941296,158.810394686078,141.141540990444,139.648738449149,166.783005863688
"result.21",180.614448630606,138.712940897203,136.945057728533,140.763708652692,187.857572127198
"result.22",148.223597780421,129.843349717627,150.860289439513,130.080605910015,204.539589022911
"result.23",168.489697174968,157.721702112464,159.242028927125,146.216905283712,125.322033748243
"result.24",210.052630878574,126.990366748698,125.31292362051,185.433016400963,154.696240910707
"result.25",133.460840933649,155.789507223596,150.148110034725,130.137012724456,168.395146064639
"result.26",117.216035495529,167.413277906752,171.062970197814,144.983272779526,155.055084762724
"result.27",147.105183357297,135.723120752652,183.778982854681,161.831663621643,171.318787528436
"result.28",175.321902931676,133.220545335943,177.078841179397,122.323262392001,189.13831155235
"result.29",169.393681551318,153.518956007574,127.089103562324,170.477819042665,143.598820443344
"result.30",162.209664273035,142.164458100016,141.58200929132,177.765132311926,175.008337684151
"result.31",130.695574246544,146.413655132264,133.58467494603,173.226330873273,161.082345931446
"result.32",166.434494071356,132.026943632704,155.879193162607,157.565903334681,124.633514661555
"result.33",136.128916234982,145.373765005807,98.0802775181337,174.459123608648,166.026912513608
"result.34",152.436752017751,149.020936497136,174.70092730491,170.839593674039,192.711639432774
"result.35",149.746642871599,184.364762306522,132.988372378481,175.713323289845,169.392642597392
"result.36",189.405375321742,149.05210542861,134.417805201393,128.430792532893,153.317496194313
"result.37",176.798439762778,183.803620634352,132.748120191953,157.534877400271,144.507271544578
"result.38",163.828792122742,135.273583321457,122.064912426004,190.61062570289,182.9703031882
"result.39",138.509510990481,176.761393717478,152.827545475781,162.954662982657,192.771008903909
"result.40",167.38980559783,133.777787880062,162.73868790136,170.339702270308,165.847169577553
"result.41",135.12909398449,156.656881210212,128.793060381222,142.380376235755,166.053137545542
"result.42",135.256604924939,130.800749809835,151.745445675616,158.580832965535,142.799808072647
"result.43",145.853736899601,166.003460456753,157.351245524369,172.135222608202,161.994015649401
"result.44",122.461425048076,140.770712141113,125.452487078752,139.699703029123,153.027922095082
"result.45",143.90011086777,179.111424045062,135.771288922406,176.647216808466,159.329945265523
"result.46",141.330128781422,193.783203381961,152.472188116539,130.720469088684,167.081937534833
"result.47",148.40170983623,143.929062017904,141.218481278765,159.716705901188,209.771839625484
"result.48",153.441125395054,158.288757395647,179.779816031267,163.443872872224,137.555952217307
"result.49",166.392086313036,174.360747950708,152.582837645614,142.387304703894,146.093173506313
"result.50",162.634065860141,164.24878767935,124.498374466936,188.748575481405,176.952328744901
"result.51",161.23665986245,162.731642911742,144.139470558997,129.175820993152,167.790271691354
"result.52",156.11206461557,125.248268413495,134.919724794579,150.376408303269,165.476725245281
"result.53",157.075596962005,175.544190554392,146.707856151882,152.552163461305,150.411590068088
"result.54",139.796270168396,157.771182835968,132.645413609501,166.348145547685,137.826436836038
"result.55",153.186606608747,170.282892262372,138.546178529251,134.701930843054,129.898601591221
"result.56",159.409893045916,163.269185501265,134.168243574319,153.780921002264,166.83241939913
"result.57",170.837552705615,126.667686897792,157.092897371531,205.0325881028,165.380799575917
"result.58",164.072119927574,132.980096765012,148.557308090666,170.261080476148,168.375107412865
"result.59",144.936866287723,122.486141956114,152.050044046768,155.263611255186,165.075945891492
"result.60",124.42234336711,166.094920001561,192.32745229159,119.140474472979,121.214367192039
"result.61",152.079924947097,135.752463783617,127.387864017675,162.041494528825,203.993026309912
"result.62",153.031094896976,150.177158766534,167.564661006803,161.819768968397,150.410474838949
"result.63",142.342055088121,153.305758885645,149.933628966181,132.2703860614,162.86287623777
"result.64",139.091414521028,142.16663546789,162.743265369179,114.857589460959,215.841372510337
"result.65",124.040244293686,134.415275191523,177.10653581406,154.158370331201,203.001172002052
"result.66",131.700654377847,130.468890625377,135.282173427751,178.270855321108,169.11457526453
"result.67",153.109557846414,145.401838537297,137.084056278428,140.112975216778,174.724778961519
"result.68",185.22240738713,122.018307171346,138.593809085052,163.830036487969,151.143337577535
"result.69",169.611718619688,179.416675500877,172.368229976297,139.411840121289,148.536170282755
"result.70",138.860433226512,115.762110090031,140.401928388697,144.439328971423,196.250078422753
"result.71",162.059227377958,127.8353711748,117.786243509306,150.467362306624,177.133911457314
"result.72",148.251600424657,168.808357958084,173.43868415566,156.941909955182,163.907988449515
"result.73",136.057092959283,148.932272568573,171.342041694275,144.919561107868,125.449852835936
"result.74",160.611946410661,142.296146420177,136.242837786016,137.565442404021,153.324441870376
"result.75",131.815199852289,152.496597865589,110.370328191733,147.168761389171,164.130793879332
"result.76",153.475995442002,124.928561901965,152.807436701342,181.53584025888,156.90977421697
"result.77",170.39838008584,160.364179578879,141.041613600368,138.030827827881,151.063737257517
"result.78",163.966398404702,154.247691843304,149.01806152812,116.449498085037,154.389048012141
"result.79",180.601879718375,133.791502569548,160.934215106099,150.497100970821,132.493741667221
"result.80",186.308703048173,151.427745481372,150.441727674515,145.518950684766,160.799848220065
"result.81",137.849237525809,112.443804074332,148.129606356884,168.298407418402,170.114441262535
"result.82",153.51246196883,148.550618226215,118.872521352623,172.768446735317,161.6867148453
"result.83",162.982898367772,152.419309952384,121.356905589228,156.84468630626,175.334968839713
"result.84",128.373506907118,156.036916575045,151.418934452072,132.535295260031,220.242207526418
"result.85",134.724586064856,161.167514462036,155.14171963706,126.593398633445,169.270790176227
"result.86",175.533535813098,132.6225440619,121.264012586983,140.67145063369,185.926834855924
"result.87",170.721887699039,123.151785478534,130.339156642659,110.060239283681,160.732482056668
"result.88",173.658345577771,146.989864790434,107.348307568782,145.045320324101,135.323655152584
"result.89",174.333181097613,169.579476307119,144.789130650837,117.062483212593,172.777248444546
"result.90",144.617711680043,142.321714100198,149.981014699814,175.295293299572,156.047111888591
"result.91",184.154537676534,118.395799609896,158.7667214934,151.661009186602,145.886553576239
"result.92",126.55396747031,190.452413992289,165.871236692424,123.253925209175,160.088683219833
"result.93",157.118857347086,144.437970355333,149.668201235682,114.808089929097,172.845042815643
"result.94",118.437915077674,134.585666649319,173.338808344397,135.322147869634,149.187311715301
"result.95",149.337476418767,193.461821351677,138.407183498292,172.768446735317,149.501047280671
"result.96",169.69479337333,129.331787117677,154.44290678591,165.042103460848,183.903197960514
"result.97",153.029199854505,198.527450093742,148.487609062849,142.998726750539,158.48646494575
"result.98",153.03700132609,159.797894164159,146.611742292777,138.470942061696,162.670601280023
"result.99",136.916043596215,135.14840711147,124.46927567101,136.502002223292,126.046597487719
"result.100",178.482635950105,122.318315356196,146.769255975264,130.444646273847,128.518851233281
"result.101",128.944921862326,139.357559935676,130.935676882933,178.084023932959,142.264869075374
"result.102",122.403071252118,173.278483069861,133.398347392019,166.555297387453,138.532381748852
"result.103",138.530664012095,145.264557192038,144.209564540597,117.97725923682,183.764475057284
"result.104",148.532784080888,164.10707941351,128.356608305632,166.779995770851,138.854851479273
"result.105",130.234673872292,141.90990655159,134.526224897671,133.009205265926,160.22529812217
"result.106",146.178104403767,134.664101459977,116.206313162983,148.883791484642,145.958047455955
"result.107",176.569334010256,112.411605051749,167.975865099802,156.852020515927,163.920930179768
"result.108",185.672953329049,161.589709765476,140.739070223242,108.944818245349,174.772282088007
"result.109",174.554864345221,121.235229565948,110.485341159514,199.402590786524,106.144430752819
"result.110",160.123982809018,138.981336071199,145.665106780742,120.468927793817,163.27649952576
"result.111",177.014880927491,126.046600253029,128.780511997941,123.743873825676,141.716666423155
"result.112",127.632552906511,152.503798708568,133.350806985498,143.800306871539,127.626754489174
"result.113",181.331811185163,170.517415976083,132.832920573148,147.717860004892,182.596546664309
"result.114",181.520499725979,139.161423341263,110.353252364515,180.120671833768,152.059632762791
"result.115",141.261155913438,141.603509337783,142.642260597406,141.263686523165,167.638465988427
"result.116",154.551547823472,148.236932548624,129.199905660945,120.660663878011,181.20541527682
"result.117",125.233356963523,146.122461419478,139.184638441603,160.618329445435,152.538041412138
"result.118",120.162942171862,149.017349259784,131.543636841337,152.854986178506,133.057125913702
"result.119",167.933715161016,153.236617600934,158.915244540457,182.198863816407,171.353055254589
"result.120",178.215708873066,150.873812358179,138.849646607569,147.416779796757,134.579642150825
"result.121",158.726200807038,146.338548128792,129.48374748573,179.737626599084,126.464212060161
"result.122",155.155481217222,149.613982589307,140.914412262631,146.711410714051,165.780753515284
"result.123",204.289498347496,149.841280628762,147.998817925946,148.548192018946,197.638830971632
"result.124",129.336644923756,114.31955068619,157.416920025836,153.044755049351,161.823691012167
"result.125",178.93970843191,126.054034433205,160.901998941885,141.006449550049,119.928699842814
"result.126",148.710522433037,172.517037561026,129.616704558981,126.071389916728,155.946913841429
"result.127",176.435934464744,146.466883487614,144.962437456855,178.84708458513,185.537644407166
"result.128",147.53035234931,129.405388774236,167.892454597573,135.668034749864,118.204741280502
"result.129",188.520662408815,133.190528295794,127.901951047785,155.96401256117,171.907710153611
"result.130",134.908289401678,155.623099829725,141.448431969671,157.887007275744,174.916650663816
"result.131",162.290542613666,168.048785248105,131.655352372105,143.063491813181,149.923549626501
"result.132",154.99442635848,198.277572706275,140.372436784225,157.25307524783,155.34276108517
"result.133",164.129851063149,212.070878993814,165.076147790124,129.296147065994,127.478281052184
"result.134",162.178171876038,141.343465127795,178.697007821784,154.417210069882,140.387893691567
"result.135",132.188656289739,159.880944481237,140.557579300942,165.405761263414,193.278795278776
"result.136",163.956008851345,131.010399238597,144.286967876123,142.382971583148,156.727419299639
"result.137",142.199161486439,166.646652797958,149.091531649978,182.998328589156,163.996179652927
"result.138",154.7509106876,165.789150424434,163.056829135323,160.694288883901,183.873372507181
"result.139",149.361957206292,127.610992841686,153.865841555375,167.356547538815,187.502577938125
"result.140",158.006471040493,131.455543995595,139.249649552849,149.329105206344,183.052120364466
"result.141",142.047940927944,135.108199413973,173.869011432393,153.216689081529,148.509971743233
"result.142",169.856863371172,144.121782061946,177.066728974715,161.59793946598,170.331280045328
"result.143",161.470498701613,159.255801318125,158.808384112893,128.846590718482,181.607815752858
"result.144",187.31545941396,170.155342998979,139.551176172475,126.689423623543,158.337777946087
"result.145",142.328405600196,133.683771577894,150.754441454959,157.048214686605,165.510135768109
"result.146",152.134195367344,159.450518637016,123.909794588409,145.633439220669,137.450649270152
"result.147",192.913615448922,145.748218384939,139.938543656608,130.349025675003,117.164078270122
"result.148",152.682057017391,144.595752811553,160.596438278879,151.546627334995,170.232194025341
"result.149",153.575111346265,150.692894123683,111.414147388592,193.820710502233,188.224745339876
"result.150",139.197535116209,174.159108175896,113.607895290506,161.132653478412,190.286760484944
"result.151",144.539814563517,132.067138619575,129.502543716051,174.277836386101,132.878480668919
"result.152",158.311108099226,137.998726945621,136.961177770487,134.559545504192,174.093446769681
"result.153",139.159244133421,138.373956926541,130.576859081172,161.667925682655,171.589297002476
"result.154",163.982501562336,155.733413636146,143.734123181974,154.709302422893,159.11360652751
"result.155",152.708218433789,118.551877866353,159.992513615957,145.348544293647,181.787292574072
"result.156",158.561487282239,124.136886537094,142.331079703446,137.277405779665,165.351379025788
"result.157",192.038348314139,110.376734500331,149.95705330812,145.607635359061,166.693446458668
"result.158",144.073174762633,135.975580351279,142.208438535405,164.992791604603,170.124761863529
"result.159",151.170550010625,151.003319207443,144.065814419488,170.306914651269,133.37202490091
"result.160",150.896827251794,134.821729437195,157.071741566958,129.138118611094,125.142104189307
"result.161",141.126929345418,139.074542863952,119.424696550138,134.695663181284,197.844700690316
"result.162",127.526774163182,158.028188056374,159.246900210671,130.686190365474,169.458779806659
"result.163",151.144388074235,158.815929549088,161.940703906659,159.292680549471,143.278065609782
"result.164",136.155967473477,136.260758855283,130.154151129667,145.95847055874,150.396541213479
"result.165",194.902148011146,174.618098715856,168.556435612266,178.866420109842,186.253327081219
"result.166",119.413968861605,150.673311782884,154.117250403989,152.585408778885,164.962065657619
"result.167",183.225316589549,173.955240719898,141.65654689023,154.709302422893,154.736148422747
"result.168",173.281291714038,135.480254984836,158.261237078358,144.014646980849,144.761682514242
"result.169",156.282282520455,156.543407279223,132.926504317452,131.15421773194,161.075481163758
"result.170",148.411126051796,151.197168274195,165.16321819632,149.383661426135,139.00295339591
"result.171",150.575006098469,122.187804759894,116.95114904073,175.12425503689,141.793851188309
