"","bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
"result.1",174.789507861881,146.337033479454,140.167004146179,181.594157005928,156.457697813563
"result.2",154.358208907627,232.241007658639,187.025368364013,167.170268288218,172.309393653553
"result.3",164.777064992315,136.324487507131,166.374504954402,163.089937081497,181.428712625892
"result.4",187.077426722756,140.225124398536,160.372425567406,159.815876730112,145.634341189221
"result.5",159.296307204733,139.736405027609,148.014927304034,166.538692237804,173.397426492418
"result.6",158.660290065988,172.188193599545,169.478619775616,152.613982076905,157.924488647752
"result.7",189.135732978947,142.233712960052,161.596051673607,137.436008756494,183.854257675312
"result.8",182.564083217097,168.305774873229,182.401452587354,164.502369987094,180.092140673411
"result.9",162.10120239815,140.176660080935,130.875212286347,159.565846003326,162.347523830045
"result.10",144.378296806922,157.276338935207,195.062335320395,163.60857930076,162.687287063263
"result.11",166.422475043537,181.022517930336,125.362586702814,183.534794639133,147.577701819444
"result.12",161.36236379252,171.946885051628,186.220266424399,192.516894758597,214.76373886371
"result.13",160.742534448428,146.450860717977,149.08527413984,158.083862410753,190.369631145488
"result.14",162.704596981771,118.121542440246,166.416700439035,165.979868357127,184.449697594359
"result.15",152.767791941135,161.93942889632,171.177592881676,119.164868577554,186.431680127515
"result.16",154.870795195091,158.088207373118,137.173648048544,183.357206154106,170.80000800245
"result.17",135.542110369456,139.88132654215,192.251535850496,139.578860758653,186.511620980083
"result.18",181.176368979514,181.648258573225,210.494814607963,154.802769085772,168.071290079691
"result.19",160.194227967512,167.540378204858,172.581843911038,161.182311216153,172.613936882037
"result.20",155.196543028316,171.908089885672,179.717586262318,208.537866360872,221.424418243889
"result.21",196.150332881772,206.823643120092,143.847673977062,133.916751896845,160.341068267124
"result.22",189.69984201591,154.914716496206,138.627793452482,168.506073997648,202.416151349571
"result.23",161.924060365158,169.488387706768,183.9362221587,168.968804917987,151.717612346376
"result.24",182.808483941497,182.273388249605,173.646694297234,156.234692935508,187.038346858458
"result.25",176.928598525349,155.259134001624,202.936629868358,158.81394300437,203.343887217808
"result.26",125.850012579375,147.259018942507,184.260830463591,159.767915568649,167.988831717201
"result.27",138.482584075364,170.549408558665,139.334628680067,167.237270370522,164.904555044322
"result.28",176.984590609896,185.447176367177,198.317697344205,126.200488314152,172.431700428854
"result.29",149.886679840769,126.232620980059,189.09879995332,153.132677525024,192.852547443179
"result.30",174.446877425768,150.382338805029,176.950775078654,139.431860909125,156.481272399177
"result.31",149.995964696122,119.457901217804,157.111605289542,155.7599635994,161.262167122093
"result.32",179.697052708618,176.099954665473,151.492115970904,176.121522583639,174.036863459332
"result.33",151.819116605851,190.778287171728,182.791866185363,160.869901303541,155.642157949812
"result.34",158.408176268381,142.197304129924,150.810446985928,135.870774420916,183.360005312515
"result.35",140.55996410793,172.604803496168,159.339036530409,200.795648757367,216.754863137995
"result.36",131.609087586364,159.931882096179,165.111345690284,169.189122753691,174.410701930598
"result.37",147.112869915045,147.7952807731,191.117834892073,164.895043723001,201.659550486154
"result.38",175.963879356947,166.893002600033,193.638635309755,178.797174424542,152.600746855711
"result.39",178.788763775345,126.802990070811,147.455157832065,184.892567807597,206.592513220417
