"","task","p-value","test_stat"
"1",1,0.0915457728864432,130.045768681731
"2",2,0.163581790895448,126.404793436896
"3",3,0,152.63317669408
"4",4,0.0340170085042521,131.637787031035
"5",5,0.208104052026013,150.627491675903
"6",6,0.0750375187593797,145.304041594544
"7",7,0.0765382691345673,133.979817272775
"8",8,0.204102051025513,104.323577924072
"9",9,0.00250125062531266,127.919075170499
"10",10,0.0905452726363182,120.852187871361
"11",11,0.00950475237618809,156.482309475458
"12",12,0.0530265132566283,123.8177725413
"13",13,0.0535267633816908,117.242105438276
"14",14,0.0215107553776888,128.587590949801
"15",15,0.198099049524762,151.525777432581
"16",16,0,172.093835169905
"17",17,0.0520260130065033,136.920206690574
"18",18,0.0840420210105053,132.812101602037
"19",19,0.186093046523262,134.649995474231
"20",20,0.129064532266133,139.803116831223
"21",21,0.0625312656328164,150.947157714868
"22",22,0.0475237618809405,114.518667874129
"23",23,0.00500250125062531,143.373003837329
"24",24,0.0270135067533767,156.35978319519
"25",25,0.221610805402701,147.370008647439
"26",26,0.205102551275638,119.475667175982
"27",27,0.0730365182591296,125.777863264265
"28",28,0.104552276138069,136.098935420074
"29",29,0.132566283141571,103.422060506981
"30",30,0.268134067033517,112.170584710076
"31",31,0.0635317658829415,131.838014357906
"32",32,0.00600300150075038,160.727755604893
"33",33,0.160580290145073,157.196467045173
"34",34,0.179089544772386,123.6795317936
"35",35,0.0545272636318159,146.040900252189
"36",36,0.040520260130065,125.048569179385
"37",37,0.0735367683841921,150.876849228139
"38",38,0,130.52318853034
"39",39,0.0280140070035018,169.572314943311
"40",40,0.16208104052026,147.207087199266
"41",41,0.11855927963982,114.328842579196
"42",42,0.0125062531265633,140.106725229782
"43",43,0.0105052526263132,151.383461081575
"44",44,0.0430215107553777,136.195189657723
"45",45,0.175087543771886,137.632978313398
"46",46,0.0375187593796898,191.304391129377
"47",47,0.0680340170085043,122.763397110295
"48",48,0.0650325162581291,141.081027413354
"49",49,0,176.613856016289
"50",50,0.0185092546273137,140.111511793852
"51",51,0.142071035517759,111.948403247576
"52",52,0.0205102551275638,124.168333433831
"53",53,0.0880440220110055,116.626030196443
"54",54,0.331665832916458,130.109396194831
"55",55,0.00400200100050025,176.934820992874
"56",56,0.140570285142571,111.90563691219
"57",57,0.0330165082541271,166.514524012882
"58",58,0.00750375187593797,132.218140316667
"59",59,0.00100050025012506,171.968483458898
"60",60,0,182.898086992123
"61",61,0.0460230115057529,158.304688726054
"62",62,0.0705352676338169,147.71772145663
"63",63,0.0305152576288144,145.600317105721
"64",64,0.103551775887944,127.780230805789
"65",65,0.117558779389695,145.854162154653
"66",66,0.0570285142571286,144.659317496445
"67",67,0.0375187593796898,142.234708346571
"68",68,0.111555777888944,111.892325655058
"69",69,0.00900450225112556,164.996960839109
"70",70,0.0620310155077539,162.164641484036
"71",71,0.243621810905453,123.457665278745
"72",72,0.0655327663831916,132.603938805434
"73",73,0.00400200100050025,151.226273308731
"74",74,0.101050525262631,133.06417133712
"75",75,0.146573286643322,144.468199599325
"76",76,0.109554777388694,92.6641735123446
"77",77,0.0620310155077539,146.488198996434
"78",78,0.0385192596298149,167.030727410768
"79",79,0.0120060030015008,141.446890824874
"80",80,0.0440220110055028,168.727899450232
"81",81,0.0135067533766883,128.103673649305
"82",82,0.0155077538769385,149.501866877511
"83",83,0.0210105052526263,131.303448165382
"84",84,0,149.369440285755
"85",85,0.250125062531266,120.600216155845
"86",86,0.0985492746373187,141.416948168101
"87",87,0.0420210105052526,142.627957626791
"88",88,0.130565282641321,123.938014050317
"89",89,0.0995497748874437,158.561620951539
"90",90,0.186593296648324,127.905130241161
"91",91,0.0865432716358179,131.03294336311
"92",92,0.323661830915458,126.160838935281
"93",93,0.00950475237618809,131.164676347708
"94",94,0.0585292646323162,127.467719392136
"95",95,0.231615807903952,119.764124919706
